id,zona,tracker,fila,tipo,strings,articulada,art_plano,x,y_sur,y_norte,z_sur,z_norte,pend_long,pend_long_trk,s_oeste,s_este,azi_oeste,azi_este,mag_oeste,mag_este,resid_oeste,resid_este,vec_oeste,vec_este,herm_oeste,herm_este,tcu_s_oeste,tcu_az_oeste,tcu_mag_oeste,tcu_s_este,tcu_az_este,tcu_mag_este,tcu_vec_oeste,tcu_vec_este,tcu_herm_oeste,tcu_herm_este,pend_proy,d_pend,estado,sector,origen
PD-340-0,PD,340,0,2TTx56,4,NO,NO,658355.27,4331653.151,4331727.789,749.944,748.051,-2.536,-2.519,0.224,-1.75,5.1,34.8,2.529,3.067,0.03,0.036,no,no,,,1.592,32.3,2.98,-1.442,29.8,2.903,PD-340-0 (hermana),PD-354-0,SI,NO,-2.507,-0.029,ok,,medido
PD-340-1,PD,340,1,2TTx56,4,NO,NO,658361.287,4331653.088,4331727.71,749.837,747.97,-2.502,-2.519,0.83,-1.845,18.2,36.2,2.652,3.122,0.046,0.027,no,no,,,1.592,32.3,2.98,-1.442,29.8,2.903,PD-340-0 (hermana),PD-354-0,SI,NO,-2.472,-0.03,ok,,medido
PD-341-0,PD,341,0,2TTx56,4,NO,NO,658342.197,4332341.337,4332416.01,732.789,731.482,-1.75,-1.89,-0.088,1.334,357.3,324.8,1.892,2.314,0.007,0.13,sí,no,,,-0.303,350.9,1.914,2.857,303.5,3.426,PD-327-1,PD-341-1 (hermana),NO,SI,-1.608,-0.142,ok,,medido
PD-341-1,PD,341,1,2TTx56,4,NO,NO,658348.174,4332341.243,4332415.92,733.066,731.55,-2.03,-1.89,-1.278,0.255,325.9,352.3,2.282,1.907,0.055,0.105,sí,no,,,-0.303,350.9,1.914,2.857,303.5,3.426,PD-327-1,PD-341-1 (hermana),NO,SI,-1.608,-0.422,ok,,medido
PD-342-0,PD,342,0,2TTx56,4,NO,NO,658361.316,4331454.485,4331529.139,753.503,753.309,-0.26,-0.368,1.297,-2.032,74.1,79.7,1.348,2.065,0.021,0.037,no,sí,,,1.421,75.5,1.468,-1.421,75.5,1.468,PD-342-0 (hermana),PD-342-1 (hermana),SI,SI,-0.615,0.355,ok,,medido
PD-342-1,PD,342,1,2TTx56,4,NO,NO,658367.303,4331454.466,4331529.11,753.499,753.143,-0.477,-0.368,1.333,-1.841,74.6,78.7,1.383,1.877,0.022,0.099,no,sí,,,1.421,75.5,1.468,-1.421,75.5,1.468,PD-342-0 (hermana),PD-342-1 (hermana),SI,SI,-0.494,0.017,ok,,medido
PD-343-0,PD,343,0,2TTx56,4,NO,NO,658367.377,4331220.058,4331294.59,762.588,758.586,-5.37,-5.303,0.046,-0.618,0.5,6.6,5.304,5.339,0.064,0.05,no,sí,,,0.946,10.1,5.387,-0.748,8.0,5.356,PD-331-1,PD-343-1 (hermana),NO,SI,-5.463,0.093,ok,,medido
PD-343-1,PD,343,1,2TTx56,4,NO,NO,658373.376,4331219.997,4331294.542,762.497,758.593,-5.237,-5.303,0.34,-0.426,3.7,4.6,5.314,5.32,0.061,0.069,no,sí,,,0.946,10.1,5.387,-0.748,8.0,5.356,PD-331-1,PD-343-1 (hermana),NO,SI,-5.245,0.008,ok,,medido
PD-344-0,PD,344,0,2TTx56,4,NO,NO,658339.809,4332589.986,4332664.652,735.118,737.25,2.855,2.779,0.159,-0.413,176.7,171.5,2.784,2.81,0.07,0.036,no,no,,,1.329,154.4,3.081,-0.874,162.5,2.913,PD-333-1,PD-344-1 (hermana),NO,SI,2.84,0.015,ok,,medido
PD-344-1,PD,344,1,2TTx56,4,NO,NO,658345.802,4332589.966,4332664.626,735.122,737.14,2.703,2.779,0.438,-0.358,171.0,172.7,2.813,2.802,0.107,0.022,no,no,,,1.329,154.4,3.081,-0.874,162.5,2.913,PD-333-1,PD-344-1 (hermana),NO,SI,2.79,-0.087,ok,,medido
PD-345-0,PD,345,0,2TTx56,4,NO,NO,658361.329,4331529.414,4331604.035,753.334,751.391,-2.604,-2.562,-0.236,-0.874,354.7,18.8,2.573,2.707,0.081,0.02,sí,no,,,1.795,35.0,3.128,0.206,355.4,2.57,PD-345-0 (hermana),PD-357-0,SI,NO,-2.536,-0.068,ok,,medido
PD-345-1,PD,345,1,2TTx56,4,NO,NO,658367.349,4331529.36,4331604.004,753.196,751.315,-2.52,-2.562,0.508,-0.746,11.2,16.2,2.612,2.668,0.114,0.057,sí,no,,,1.795,35.0,3.128,0.206,355.4,2.57,PD-345-0 (hermana),PD-357-0,SI,NO,-2.441,-0.079,ok,,medido
PD-346-0,PD,346,0,2TTx56,4,NO,NO,658367.333,4331294.895,4331369.46,758.562,755.029,-4.738,-4.665,0.356,-0.295,4.4,3.6,4.678,4.674,0.099,0.077,sí,sí,,,1.115,13.4,4.796,-0.015,0.2,4.665,PD-334-1,PD-346-1 (hermana),NO,SI,-4.588,-0.15,ok,,medido
PD-346-1,PD,346,1,2TTx56,4,NO,NO,658373.353,4331294.882,4331369.478,758.507,755.082,-4.591,-4.665,0.384,-0.27,4.7,3.3,4.681,4.673,0.073,0.072,sí,sí,,,1.115,13.4,4.796,-0.015,0.2,4.665,PD-334-1,PD-346-1 (hermana),NO,SI,-4.618,0.027,ok,,medido
PD-347-0,PD,347,0,2TTx56,4,NO,NO,658367.336,4331369.772,4331444.392,755.04,753.364,-2.246,-2.316,1.603,-1.163,34.7,26.7,2.817,2.591,0.056,0.129,sí,no,,,1.96,40.2,3.034,-1.167,26.7,2.593,PD-335-1,PD-347-1 (hermana),NO,SI,-2.261,0.015,ok,,medido
PD-347-1,PD,347,1,2TTx56,4,NO,NO,658373.339,4331369.772,4331444.386,755.022,753.242,-2.386,-2.316,1.553,-1.148,33.8,26.4,2.788,2.585,0.038,0.087,sí,no,,,1.96,40.2,3.034,-1.167,26.7,2.593,PD-335-1,PD-347-1 (hermana),NO,SI,-2.319,-0.067,ok,,medido
PD-348-0,PD,348,0,2TTx56,4,NO,NO,658383.121,4330700.652,4330775.303,777.485,775.895,-2.13,-2.109,1.148,-0.812,28.6,21.1,2.401,2.26,0.033,0.015,no,sí,,,1.701,38.9,2.71,-0.5,13.3,2.168,PD-336-1,PD-361-0,NO,NO,-2.04,-0.09,ok,,medido
PD-348-1,PD,348,1,2TTx56,4,NO,NO,658389.135,4330700.673,4330775.312,777.398,775.839,-2.089,-2.109,1.097,-0.781,27.5,20.3,2.378,2.249,0.042,0.032,no,sí,,,1.701,38.9,2.71,-0.5,13.3,2.168,PD-336-1,PD-361-0,NO,NO,-1.985,-0.104,ok,,medido
PD-349-0,PD,349,0,2TTx56,4,NO,NO,658383.151,4330775.577,4330850.153,775.713,773.564,-2.882,-2.895,1.88,0.039,33.0,359.2,3.452,2.895,0.077,0.045,sí,sí,,,3.155,47.5,4.281,0.714,346.1,2.981,PD-337-1,PD-362-0,NO,NO,-2.71,-0.172,ok,,medido
PD-349-1,PD,349,1,2TTx56,4,NO,NO,658389.117,4330775.615,4330850.215,775.704,773.535,-2.908,-2.895,1.469,0.147,26.9,357.1,3.246,2.898,0.042,0.045,sí,sí,,,3.155,47.5,4.281,0.714,346.1,2.981,PD-337-1,PD-362-0,NO,NO,-2.837,-0.071,ok,,medido
PD-35-0,PD,35,0,2TTx56,4,NO,NO,658035.085,4330151.17,4330225.66,797.717,793.426,-5.761,-5.709,-2.942,1.923,332.7,341.4,6.423,6.024,0.025,0.044,no,sí,,,-2.649,335.1,6.294,2.649,335.1,6.294,PD-35-0 (hermana),PD-35-1 (hermana),SI,SI,-5.741,-0.02,ok,,medido
PD-35-1,PD,35,1,2TTx56,4,NO,NO,658041.103,4330151.086,4330225.6,797.843,793.627,-5.658,-5.709,-3.065,1.617,331.8,344.2,6.48,5.934,0.025,0.053,no,sí,,,-2.649,335.1,6.294,2.649,335.1,6.294,PD-35-0 (hermana),PD-35-1 (hermana),SI,SI,-5.652,-0.006,ok,,medido
PD-350-0,PD,350,0,2TTx56,4,NO,NO,658354.23,4332266.402,4332341.074,735.077,733.208,-2.503,-2.324,-0.003,-1.111,359.9,25.6,2.324,2.576,0.069,0.0,no,sí,,,1.111,25.6,2.576,-1.111,25.6,2.576,PD-350-0 (hermana),PD-350-1 (hermana),SI,SI,-2.26,-0.243,ok,,medido
