356,201825.627,8162208.035,1589.133,,,,,,,,,
357,201819.414,8162207.905,1589.155,,,,,,,,,
358,201819.414,8162170.121,1589.785,,,,,,,,,
359,201819.433,8162171.256,1589.783,,,,,,,,,
360,201825.604,8162170.255,1590.054,,,,,,,,,
361,201825.598,8162171.321,1590.041,,,,,,,,,
362,201831.794,8162170.13,1590.243,,,,,,,,,
363,201831.799,8162171.186,1590.218,,,,,,,,,
364,201838.009,8162170.253,1590.283,,,,,,,,,
365,201838.017,8162171.305,1590.27,,,,,,,,,
366,201838,8162132.903,1591.082,,,,,,,,,
367,201838.01,8162133.567,1591.01,,,,,,,,,
368,201831.838,8162133.411,1590.593,,,,,,,,,
369,201831.805,8162132.768,1590.731,,,,,,,,,
370,201825.591,8162132.875,1590.254,,,,,,,,,
371,201825.594,8162133.596,1590.193,,,,,,,,,
372,201819.418,8162132.768,1589.808,,,,,,,,,
373,201819.416,8162133.466,1589.642,,,,,,,,,
374,201819.414,8162095.995,1590.717,,,,,,,,,
375,201819.411,8162095.08,1590.737,,,,,,,,,
376,201825.615,8162095.244,1590.813,,,,,,,,,
377,201825.627,8162096.141,1590.803,,,,,,,,,
378,201831.804,8162095.086,1590.941,,,,,,,,,
379,201831.796,8162096,1590.92,,,,,,,,,
380,201837.978,8162095.121,1591.118,,,,,,,,,
381,201837.992,8162096.156,1591.113,,,,,,,,,
382,201838.01,8162058.45,1591.214,,,,,,,,,
383,201838.044,8162057.773,1591.382,,,,,,,,,
384,201831.82,8162058.327,1591.169,,,,,,,,,
385,201831.841,8162057.656,1591.298,,,,,,,,,
386,201825.619,8162058.449,1591.177,,,,,,,,,
387,201825.568,8162057.783,1591.212,,,,,,,,,
388,201819.428,8162058.346,1591.031,,,,,,,,,
389,201819.371,8162057.634,1591.14,,,,,,,,,
390,201819.411,8162020.901,1591.392,,,,,,,,,
391,201819.399,8162019.976,1591.394,,,,,,,,,
392,201825.574,8162020.116,1591.64,,,,,,,,,
393,201825.574,8162021.037,1591.639,,,,,,,,,
394,201831.802,8162019.971,1591.722,,,,,,,,,
395,201831.811,8162020.987,1591.713,,,,,,,,,
396,201838.115,8162020.098,1591.86,,,,,,,,,
397,201838.023,8162021.063,1591.848,,,,,,,,,
398,201837.999,8161983.354,1592.105,,,,,,,,,
399,201831.8,8161983.235,1592.012,,,,,,,,,
400,201825.627,8161983.373,1591.898,,,,,,,,,
401,201819.416,8161983.21,1591.666,,,,,,,,,
402,201813.213,8161983.424,1591.507,,,,,,,,,
403,201807.027,8161983.249,1591.239,,,,,,,,,
404,201800.807,8161983.371,1591.012,,,,,,,,,
405,201794.631,8161983.273,1590.888,,,,,,,,,
406,201788.444,8161983.41,1590.792,,,,,,,,,
407,201782.228,8161983.404,1590.476,,,,,,,,,
408,201776.033,8161983.378,1590.406,,,,,,,,,
409,201769.823,8161983.422,1590.17,,,,,,,,,
410,201763.626,8161983.389,1589.883,,,,,,,,,
411,201757.436,8161983.37,1589.751,,,,,,,,,
412,201751.275,8161983.407,1589.655,,,,,,,,,
413,201745.05,8161983.349,1589.47,,,,,,,,,
414,201738.875,8161983.41,1589.336,,,,,,,,,
415,201732.664,8161983.4,1589.23,,,,,,,,,
416,201732.649,8162020.944,1589.113,,,,,,,,,
417,201732.653,8162020.151,1589.12,,,,,,,,,
418,201738.845,8162020.174,1589.314,,,,,,,,,
419,201738.846,8162020.986,1589.305,,,,,,,,,
420,201745.038,8162020.94,1589.382,,,,,,,,,
421,201745.03,8162020.054,1589.384,,,,,,,,,
422,201751.219,8162020.186,1589.562,,,,,,,,,
423,201751.224,8162021.006,1589.553,,,,,,,,,
424,201757.444,8162020.082,1589.687,,,,,,,,,
425,201757.446,8162020.994,1589.683,,,,,,,,,
426,201763.631,8162020.955,1589.863,,,,,,,,,
427,201763.649,8162020.065,1589.865,,,,,,,,,
428,201769.852,8162020.974,1590.04,,,,,,,,,
429,201769.835,8162020.181,1590.039,,,,,,,,,
430,201776.04,8162020.898,1590.286,,,,,,,,,
431,201776.02,8162020.13,1590.278,,,,,,,,,
432,201782.233,8162020.949,1590.304,,,,,,,,,
433,201782.23,8162020.1,1590.303,,,,,,,,,
434,201788.421,8162020.124,1590.539,,,,,,,,,
435,201788.419,8162020.971,1590.53,,,,,,,,,
436,201794.641,8162019.984,1590.633,,,,,,,,,
437,201794.651,8162020.994,1590.632,,,,,,,,,
438,201800.807,8162021.034,1590.907,,,,,,,,,
439,201800.815,8162020.108,1590.916,,,,,,,,,
440,201807.044,8162019.975,1591.097,,,,,,,,,
441,201807.046,8162020.924,1591.095,,,,,,,,,
442,201813.195,8162021.088,1591.219,,,,,,,,,
443,201813.21,8162020.11,1591.23,,,,,,,,,
444,201813.269,8162058.514,1590.781,,,,,,,,,
445,201813.204,8162057.842,1590.886,,,,,,,,,
446,201807.06,8162058.35,1590.893,,,,,,,,,
447,201807.003,8162057.666,1590.895,,,,,,,,,
448,201800.837,8162058.457,1590.49,,,,,,,,,
449,201800.783,8162057.785,1590.563,,,,,,,,,
450,201794.639,8162058.371,1590.37,,,,,,,,,
451,201794.609,8162057.697,1590.445,,,,,,,,,
452,201788.439,8162058.537,1590.311,,,,,,,,,
453,201788.419,8162057.695,1590.252,,,,,,,,,
454,201782.235,8162058.48,1590.255,,,,,,,,,
455,201782.217,8162057.694,1590.135,,,,,,,,,
456,201776.023,8162058.494,1590.107,,,,,,,,,
457,201776.013,8162057.666,1590.135,,,,,,,,,
458,201769.823,8162058.464,1589.639,,,,,,,,,
