id,X,Y,Z,rc,assigned,tracker_idx,row_side,Tracker_ID,NCU,GW,TCU,PS,NCU_ACCIONA,GRUPO,Tracker_Xref,Tracker_Yref,dx_ref,dy_ref,mesa,m_side,corner
45,200937.314,8162365.349,1568.477,1073.0,True,536.0,W,TR-04_1-055,5.0,1.0,55.0,04_1,MU-04_1-17,5.0,200943.4875,8162328.032,-6.173,37.317,1,N,NW
46,200943.491,8162328.077,1568.09,1072.0,True,536.0,E,TR-04_1-055,5.0,1.0,55.0,04_1,MU-04_1-17,5.0,200943.4875,8162328.032,0.004,0.045,1,S,SE
47,200943.486,8162327.815,1568.08,1072.0,True,536.0,E,TR-04_1-055,5.0,1.0,55.0,04_1,MU-04_1-17,5.0,200943.4875,8162328.032,-0.001,-0.217,2,N,NE
48,200937.3,8162328.283,1567.869,1073.0,True,536.0,W,TR-04_1-055,5.0,1.0,55.0,04_1,MU-04_1-17,5.0,200943.4875,8162328.032,-6.188,0.251,1,S,SW
49,200937.297,8162328.013,1567.864,1073.0,True,536.0,W,TR-04_1-055,5.0,1.0,55.0,04_1,MU-04_1-17,5.0,200943.4875,8162328.032,-6.19,-0.019,2,N,NW
50,200943.532,8162290.721,1568.879,1072.0,True,536.0,E,TR-04_1-055,5.0,1.0,55.0,04_1,MU-04_1-17,5.0,200943.4875,8162328.032,0.045,-37.311,2,S,SE
51,200937.328,8162290.949,1568.848,1073.0,True,536.0,W,TR-04_1-055,5.0,1.0,55.0,04_1,MU-04_1-17,5.0,200943.4875,8162328.032,-6.159,-37.083,2,S,SW
52,200931.183,8162290.769,1568.579,1070.0,True,535.0,E,TR-04_1-054,5.0,1.0,54.0,04_1,MU-04_1-17,5.0,200931.0915,8162328.032,0.091,-37.263,2,S,SE
53,200924.97,8162290.905,1568.238,1071.0,True,535.0,W,TR-04_1-054,5.0,1.0,54.0,04_1,MU-04_1-17,5.0,200931.0915,8162328.032,-6.122,-37.127,2,S,SW
54,200931.085,8162327.538,1567.833,1070.0,True,535.0,E,TR-04_1-054,5.0,1.0,54.0,04_1,MU-04_1-17,5.0,200931.0915,8162328.032,-0.007,-0.494,2,N,NE
55,200931.096,8162328.203,1567.811,1070.0,True,535.0,E,TR-04_1-054,5.0,1.0,54.0,04_1,MU-04_1-17,5.0,200931.0915,8162328.032,0.004,0.171,1,S,SE
56,200924.92,8162327.631,1567.59,1071.0,True,535.0,W,TR-04_1-054,5.0,1.0,54.0,04_1,MU-04_1-17,5.0,200931.0915,8162328.032,-6.171,-0.401,2,N,NW
57,200924.928,8162328.654,1567.579,1071.0,True,535.0,W,TR-04_1-054,5.0,1.0,54.0,04_1,MU-04_1-17,5.0,200931.0915,8162328.032,-6.163,0.622,1,S,SW
58,200924.926,8162365.371,1568.157,1071.0,True,535.0,W,TR-04_1-054,5.0,1.0,54.0,04_1,MU-04_1-17,5.0,200931.0915,8162328.032,-6.166,37.339,1,N,NW
59,200924.932,8162365.958,1568.432,1039.0,True,519.0,W,TR-04_1-038,5.0,1.0,38.0,04_1,MU-04_1-17,5.0,200931.0915,8162403.138,-6.16,-37.18,2,S,SW
60,200931.155,8162365.191,1568.292,1070.0,True,535.0,E,TR-04_1-054,5.0,1.0,54.0,04_1,MU-04_1-17,5.0,200931.0915,8162328.032,0.063,37.159,1,N,NE
61,200931.145,8162365.834,1568.765,1038.0,True,519.0,E,TR-04_1-038,5.0,1.0,38.0,04_1,MU-04_1-17,5.0,200931.0915,8162403.138,0.053,-37.304,2,S,SE
62,200931.103,8162402.638,1567.831,1038.0,True,519.0,E,TR-04_1-038,5.0,1.0,38.0,04_1,MU-04_1-17,5.0,200931.0915,8162403.138,0.011,-0.5,2,N,NE
63,200931.105,8162403.305,1567.934,1038.0,True,519.0,E,TR-04_1-038,5.0,1.0,38.0,04_1,MU-04_1-17,5.0,200931.0915,8162403.138,0.014,0.167,1,S,SE
